iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
100	0.8019678	0.5111223	0.1770216	0.6784267	0.2341188	0.4349438	0.2113641	0.6828098	0.7055788	0.825441	0.8207804	0.4802838	0.5622054	0.7012373	0.812082	0.8042309	0.7827231	0.4330327	0.2340256	0.5449513	0.8918478	0.2812086	0.5460733	0.3806297	0.2540738	0.4928282	0.2755582	0.6149927	0.4612416	0.6990113	0.7131903	0.7846055	0.4000164	0.5867973	0.8460124	0.7966075	0.1857719	0.8630864	0.1631242	0.3977982	0.6294588	0.6939284	0.8863849	0.4420193	0.3074998	0.6063326	0.8829154	0.4101576	0.3023122	0.8268808	0.4825023	0.4765233	0.6288881	0.161361	0.4409182	0.6757488	0.3559914	0.6483621	0.2859243	0.8145114	0.8511159	0.1093712	0.2380854	0.1608845	0.814763	0.7001551	0.4303783	0.8202375	0.2436234	0.7686738	0.4155549	0.8431543	0.8855598	0.9230152	0.1322028	0.5569675	0.2265475	0.7075447	0.6812181	0.213879	0.5025463	0.1676282	0.1586701	0.7715416	0.3362089	0.8748738	0.3294667	0.8310553	0.4870379	0.7651705	0.1976987	0.6374497	0.268906	0.4662633	0.5799688	0.6175438	0.3447862	0.775566	0.8381129	0.68485
200	0.8052495	0.6409404	0.1939969	0.7179912	0.2014275	0.4485909	0.1494123	0.6650607	0.787764	0.8340885	0.9111469	0.4617506	0.5701782	0.5986996	0.8768779	0.8261866	0.7584422	0.281855	0.23833	0.5376692	0.8631633	0.2531574	0.6426135	0.3016095	0.3980908	0.5207111	0.2998744	0.6673258	0.386912	0.6701746	0.6477749	0.7895382	0.5076226	0.580375	0.8302338	0.8348737	0.2375614	0.8268405	0.2491959	0.4129161	0.437052	0.6921196	0.8929245	0.374572	0.3003652	0.731407	0.9280722	0.4088242	0.3133129	0.737196	0.5406894	0.4492589	0.5514997	0.1433398	0.3904275	0.6478372	0.2859258	0.6075325	0.3189562	0.8551138	0.8051101	0.08124341	0.26272	0.1666238	0.8211676	0.5616531	0.3584414	0.8433797	0.1699714	0.7874631	0.4262736	0.7808064	0.8969616	0.8870542	0.1902519	0.4655493	0.2381473	0.6790783	0.7339786	0.1529268	0.4365587	0.1707429	0.1215348	0.8158447	0.2786455	0.9101075	0.3889492	0.8480708	0.4413066	0.7559566	0.1363203	0.8176705	0.2720987	0.4629444	0.572244	0.672338	0.4139441	0.7728228	0.8593183	0.6599539
300	0.802378	0.5303966	0.1769639	0.7488843	0.2047928	0.4887142	0.1805844	0.6261034	0.6599631	0.8778886	0.9093141	0.5532916	0.6406633	0.7001037	0.898455	0.7814869	0.8111334	0.3446106	0.2633734	0.5233058	0.9046244	0.2303413	0.7219579	0.3190609	0.3810587	0.6099948	0.2157276	0.6499145	0.3467447	0.6607932	0.6175517	0.7510914	0.4456354	0.658236	0.8714812	0.8244637	0.1926643	0.7742964	0.1777463	0.4672227	0.4930903	0.567167	0.866362	0.3819317	0.34169	0.6876303	0.8557924	0.3809551	0.2804965	0.7860787	0.5596186	0.4755605	0.6895063	0.1726625	0.3804257	0.7274914	0.3305911	0.5785578	0.305269	0.8738665	0.8422346	0.1006427	0.2248871	0.1699628	0.8749721	0.6746048	0.3839413	0.7882001	0.1010219	0.7026935	0.4640035	0.8162618	0.8809958	0.8826621	0.1260853	0.4597995	0.239841	0.6921886	0.7525609	0.1515219	0.5152489	0.1717177	0.2476102	0.8388385	0.2588488	0.913552	0.387637	0.8356366	0.5505197	0.7654139	0.1850196	0.6723393	0.4085946	0.4799537	0.5825384	0.6480724	0.4644213	0.7454836	0.8656665	0.690862
400	0.8019337	0.5693797	0.1811184	0.7025291	0.2230343	0.4763177	0.2193436	0.6100125	0.7377366	0.8414352	0.8724746	0.56695	0.5830024	0.6898698	0.8757283	0.7804875	0.8493064	0.3452372	0.1925422	0.5700316	0.9403736	0.2809617	0.716424	0.3033801	0.4445612	0.5456222	0.2686258	0.6418296	0.4365381	0.5997608	0.680934	0.6989872	0.3901707	0.613304	0.8164091	0.7431825	0.1625757	0.8274529	0.2441294	0.4297644	0.5625716	0.6370292	0.8712913	0.401708	0.3190753	0.6639785	0.9079479	0.286336	0.3781314	0.7948799	0.5106038	0.4975189	0.6996338	0.1910846	0.3377944	0.6860855	0.2859128	0.7194769	0.325547	0.8211488	0.851734	0.1781529	0.250115	0.1304755	0.7821759	0.6183543	0.3380623	0.8540106	0.1316558	0.7741819	0.2469837	0.8672653	0.9046027	0.8791198	0.1797918	0.4463636	0.2815723	0.6847246	0.7540898	0.09395516	0.5606584	0.2060607	0.1692908	0.8681357	0.2836928	0.8686712	0.3495239	0.8381807	0.4997755	0.7969645	0.2221738	0.7287217	0.2381586	0.5424594	0.6375794	0.694959	0.3205876	0.7378221	0.9062058	0.7138372
500	0.8911519	0.5327591	0.2098477	0.7765546	0.2271728	0.4397304	0.1697902	0.6987415	0.7789787	0.8679129	0.8245439	0.474225	0.5082496	0.6184097	0.7728289	0.7748289	0.8247153	0.3837783	0.2504652	0.6254131	0.9729556	0.2467414	0.7490215	0.3345215	0.3213309	0.4865689	0.242109	0.5811651	0.5219508	0.5583719	0.6785076	0.7860099	0.4818501	0.5764401	0.8372091	0.8286061	0.2611648	0.7689208	0.1645331	0.3711214	0.5896616	0.6272971	0.938347	0.3424815	0.2681891	0.7599292	0.8157604	0.3476345	0.2294021	0.7221062	0.5752354	0.4948932	0.6946366	0.1984101	0.4234264	0.6853333	0.293363	0.562398	0.2699274	0.7440283	0.7162704	0.1127924	0.2534992	0.1258361	0.8467395	0.6001013	0.3744279	0.8445127	0.2097541	0.7378897	0.4465354	0.8529097	0.9278582	0.9382652	0.1532552	0.4784642	0.2593346	0.6602362	0.7439132	0.1702322	0.4338519	0.2469048	0.1867095	0.842791	0.2101922	0.8567297	0.346194	0.8941383	0.4789401	0.7639863	0.1533549	0.7952512	0.1567478	0.4911678	0.6025611	0.6382461	0.4241073	0.722646	0.8297389	0.5705284
600	0.8860056	0.6201813	0.1596947	0.6885873	0.2124722	0.4164287	0.1821747	0.6586549	0.6877203	0.8669902	0.8737932	0.5372781	0.6995472	0.7138058	0.8416224	0.7917404	0.8255979	0.3744441	0.1508224	0.5931938	0.9563569	0.2732507	0.653509	0.4105687	0.4152035	0.5445714	0.294735	0.6152755	0.478726	0.6427807	0.679554	0.8115465	0.4304418	0.6106126	0.8666567	0.7800132	0.2177517	0.8185351	0.2816728	0.4500784	0.4892479	0.6123791	0.9283208	0.33997	0.3509964	0.7010684	0.8489456	0.3534021	0.322516	0.7298985	0.5934993	0.4842376	0.6279797	0.1955706	0.4670749	0.7729612	0.3003546	0.5845865	0.3158093	0.802318	0.8852348	0.1535553	0.2360135	0.1950971	0.7684744	0.7107521	0.4083148	0.8147821	0.2109859	0.7472647	0.4201876	0.8445673	0.882339	0.9489452	0.1587238	0.5207547	0.2581238	0.6714627	0.7907111	0.1387967	0.5501153	0.1748996	0.1812658	0.7886983	0.2431726	0.8934671	0.273655	0.8406381	0.4605156	0.712477	0.2051646	0.765867	0.1848115	0.4406928	0.5389768	0.7237201	0.3875725	0.7433014	0.8668246	0.7619316
700	0.8690227	0.5493906	0.1554143	0.7315388	0.2406787	0.5131409	0.2218222	0.6167685	0.630975	0.8515448	0.8894859	0.6041412	0.5862315	0.6176219	0.8721321	0.7560059	0.834642	0.3979373	0.2166597	0.6047107	0.8847045	0.2128416	0.7018193	0.4186875	0.3872145	0.4902191	0.2785126	0.6568188	0.4189015	0.6033044	0.6829434	0.7941224	0.4738846	0.7069923	0.8414427	0.8164845	0.2164647	0.7875715	0.1584865	0.3644506	0.5558104	0.6419975	0.8742881	0.3755966	0.320103	0.7382581	0.8448503	0.3468911	0.3435388	0.7917721	0.5586508	0.464224	0.7278014	0.1704464	0.369774	0.662918	0.2734775	0.6585958	0.3431682	0.8300382	0.7747356	0.1608377	0.275603	0.1853629	0.8134667	0.5882226	0.3808602	0.8540087	0.2215156	0.8040877	0.4328093	0.843848	0.8492235	0.9314243	0.1619425	0.4345747	0.2958537	0.5936833	0.6995324	0.1538221	0.4152597	0.2299626	0.1303717	0.8353929	0.2966264	0.8924616	0.4001121	0.8065032	0.5887235	0.7068745	0.3406303	0.7863766	0.2290833	0.5745977	0.5785837	0.662284	0.41154	0.720756	0.8838699	0.6308966
800	0.8513781	0.5638871	0.1741316	0.790893	0.1899549	0.3990287	0.2112874	0.5838344	0.7218251	0.8565743	0.9368024	0.5065798	0.6421309	0.6504873	0.8118218	0.7383179	0.7964305	0.3920353	0.2200441	0.6353026	0.9492891	0.2588191	0.727022	0.296771	0.408319	0.3690908	0.2183729	0.6345121	0.3869556	0.7012967	0.7183583	0.7428633	0.4365458	0.5605317	0.8314318	0.7559625	0.2040178	0.8106722	0.2367377	0.4511134	0.5488468	0.6739118	0.8785565	0.4744249	0.3299882	0.7219793	0.8313786	0.3224843	0.2786934	0.7484306	0.5619386	0.5044396	0.6603947	0.1495235	0.4623689	0.7662818	0.2098596	0.5175779	0.2779913	0.7666124	0.828361	0.1726133	0.2853381	0.2275872	0.801456	0.600885	0.4122374	0.810856	0.1348304	0.7218145	0.4201047	0.9063338	0.9058122	0.9156747	0.1964947	0.4006387	0.2579514	0.7521761	0.7018825	0.1856204	0.5449996	0.1902324	0.1381951	0.8509187	0.2109971	0.8648763	0.3606622	0.8490984	0.5726171	0.7031509	0.1731427	0.8119942	0.2227784	0.4524084	0.5130155	0.6460749	0.3656798	0.7973489	0.8696384	0.71751
900	0.7947629	0.5158435	0.2214006	0.7498181	0.2132663	0.4618159	0.2556126	0.6146583	0.78754	0.8046859	0.8875174	0.478701	0.6491752	0.6822041	0.8581609	0.746719	0.7978366	0.3489246	0.2303583	0.5904904	0.877319	0.2843319	0.5709103	0.3785644	0.3683874	0.5311285	0.2337962	0.6500723	0.3753292	0.5827838	0.6998871	0.7878251	0.5090797	0.5991963	0.9116946	0.8455037	0.2511663	0.8889761	0.2300331	0.4977657	0.4986405	0.6297815	0.8672303	0.3041579	0.3627594	0.6997622	0.8747077	0.3893854	0.3054547	0.6867752	0.3984772	0.4453071	0.5463924	0.1908293	0.4412153	0.6954229	0.3311973	0.5993381	0.2645005	0.7725104	0.8304839	0.06794647	0.2461235	0.1517214	0.7837303	0.6775624	0.4616998	0.8422936	0.1148757	0.6769585	0.4275094	0.8379947	0.9179478	0.8948978	0.1705668	0.4938168	0.1811206	0.7402545	0.70763	0.1275722	0.5327952	0.2294801	0.2203815	0.7388476	0.2413059	0.9006072	0.4243159	0.8795505	0.4582268	0.7038719	0.1503939	0.8201084	0.1823405	0.5375679	0.5548454	0.6828288	0.2969907	0.7455463	0.8326085	0.6814238
1000	0.8145612	0.5990671	0.1208261	0.6902464	0.2240508	0.4334342	0.177779	0.6994256	0.7545732	0.8820059	0.9144848	0.5299301	0.6617866	0.6111458	0.798054	0.6689941	0.8386445	0.4409565	0.2842342	0.6078594	0.9274661	0.2049217	0.6505344	0.3023697	0.3526879	0.4459023	0.2197115	0.618866	0.4625231	0.5613626	0.6870181	0.7335773	0.489146	0.5771273	0.7754953	0.763992	0.320467	0.8517772	0.2813228	0.400074	0.5113015	0.6414902	0.9144733	0.3190605	0.3301723	0.6583671	0.8808837	0.3493429	0.2870719	0.7445823	0.5904828	0.4436249	0.7272903	0.2059984	0.3757948	0.6666691	0.2125554	0.5869816	0.2892241	0.8310482	0.8661916	0.1069783	0.2458897	0.1858882	0.7162608	0.621916	0.4595696	0.7578957	0.1412652	0.7329297	0.3699719	0.8011076	0.8709753	0.8962865	0.1507883	0.3757828	0.2314439	0.6680207	0.744769	0.1622793	0.5206946	0.2353333	0.2609212	0.8834727	0.273092	0.8514581	0.3999229	0.8232904	0.4126204	0.6848089	0.1794231	0.8015206	0.2484383	0.3528147	0.6203179	0.7722288	0.3752225	0.760706	0.8383102	0.7377467
