iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
500	0.2353692	0.5313326	0.5007907	0.2120591	0.330997	0.3988987	0.1289165	0.2238153	0.2869139	0.260042	0.2499769	0.2925474	0.0885273	0.4062539	0.3130692	0.2907393	0.2364631	0.04000112	0.2641216	0.4260409	0.4638145	0.320227	0.09659699	0.1195412	0.5620675	0.1072649	0.004477191	0.3541128	0.01348156	0.3198208	0.08832896	0.2421006	0.357708	0.4141233	0.4845891	0.2682312	0.3967336	0.562026	0.4671386	0.4884433	0.2196744	0.3849949	0.4617651	0.2620836	0.1353821	0.226957	0.4590387	0.3367844	0.1108088	0.2831352	0.3578241	0.284545	0.1816883	0.3086839	0.3577164	0.4984324	0.5162357	0.5097971	0.008342076	0.494538	0.03081322	0.5049394	0.4910031	0.4442969	0.4966986	0.2816821	0.1406175	0.04147659	0.3915908	0.4277449	0.4447919	0.0302505	0.1047488	0.08757723	0.1062945	0.06211972	0.4475138	0.2020769	0.387452	0.04842818	0.4839989	0.3539837	0.5161262	0.1956844	0.198548	0.2637104	0.3159475	0.1398332	0.3763069	0.4921154	0.105946	0.07816863	0.2389277	0.08447728	0.1718339	0.379488	0.5721199	0.03056481	0.1175599	0.3083666
1000	0.2772352	0.579574	0.4804709	0.1765347	0.4643314	0.4892157	0.08584135	0.1421326	0.3101728	0.2412044	0.2110785	0.3895566	0.05484459	0.3874637	0.224606	0.2625934	0.1992158	0.1160656	0.236772	0.4485604	0.5039243	0.2685375	0.09775834	0.08422289	0.4524235	0.08643061	0.001998974	0.3771833	0.01168155	0.3046866	0.1138312	0.2511837	0.3381823	0.3756895	0.5409258	0.2489953	0.4734599	0.5485027	0.4979464	0.4532725	0.1719184	0.4416645	0.4315526	0.1446329	0.1298437	0.284753	0.5737475	0.3924551	0.08837829	0.3334927	0.3408872	0.2663751	0.232417	0.3113601	0.3672823	0.4766276	0.6036132	0.6061421	0.007632305	0.4757083	0.02932601	0.5553747	0.4360725	0.4752636	0.4650326	0.2953002	0.1604765	0.09545735	0.4889872	0.3911576	0.5107455	0.01950201	0.1997825	0.07240152	0.08786338	0.06475735	0.4164311	0.2000507	0.3547306	0.04734641	0.4478351	0.4982442	0.4751715	0.1768114	0.2048637	0.2330672	0.3329315	0.09065805	0.3445314	0.5216816	0.05001028	0.1033803	0.2168099	0.144432	0.1870541	0.3468489	0.4463937	0.0799025	0.3165451	0.4261156
1500	0.2128956	0.5691239	0.5202478	0.2292967	0.4156131	0.442239	0.1545517	0.2322773	0.2973796	0.3132161	0.1930022	0.2986182	0.07625755	0.4699258	0.3624828	0.2302103	0.1459747	0.04030003	0.3896911	0.5413589	0.5032304	0.2303789	0.07363391	0.06594542	0.375222	0.1104963	0.001305259	0.3706045	0.001639646	0.3829778	0.07380416	0.1906827	0.3642132	0.4668048	0.5162401	0.3431674	0.4166408	0.5673113	0.4475879	0.4715931	0.2049193	0.4376752	0.4355936	0.2049699	0.1195686	0.2568858	0.482784	0.2991494	0.04420195	0.2555717	0.4328306	0.2968788	0.1616023	0.3663496	0.2970063	0.4882872	0.5683122	0.5463316	0.00286253	0.4849453	0.009892061	0.6104737	0.5166444	0.4224548	0.3312083	0.3443436	0.1360163	0.03480382	0.441462	0.4323142	0.4020758	0.04521964	0.1151089	0.09753923	0.0931837	0.03399086	0.4549924	0.1510664	0.3755938	0.07911926	0.4976738	0.4341303	0.3875186	0.1531901	0.2796305	0.2836312	0.3400967	0.07652857	0.3441651	0.3983027	0.08168292	0.1408129	0.2044211	0.1543687	0.1821648	0.4164467	0.4732777	0.07135488	0.1742713	0.4481828
2000	0.2430151	0.4959757	0.5091622	0.1737022	0.3541045	0.4357248	0.06796283	0.1424807	0.3566708	0.2661603	0.2066488	0.3759309	0.05300047	0.4450168	0.3111449	0.2400084	0.203042	0.03511996	0.3001342	0.4522395	0.5244267	0.3145858	0.08843549	0.09697797	0.4652742	0.1127057	0.01397833	0.4372822	0.02823028	0.3221163	0.09887861	0.3115697	0.4492011	0.3657408	0.5179306	0.2012532	0.380418	0.5161667	0.5325435	0.4309685	0.1385327	0.5489398	0.4520637	0.2290763	0.07423441	0.3479546	0.4152619	0.378055	0.06208746	0.2780438	0.4512723	0.29719	0.2309874	0.2376452	0.3362515	0.5012573	0.5387303	0.532315	0.004201606	0.4954437	0.05085649	0.5508494	0.4966775	0.3997527	0.4436449	0.3472258	0.2688737	0.03113207	0.3238569	0.4351723	0.4749249	0.03078324	0.133331	0.04696626	0.08729675	0.0307284	0.411983	0.2503523	0.3752635	0.01351461	0.5389664	0.3746259	0.4953193	0.1690132	0.1942653	0.2746715	0.2419411	0.121424	0.2921787	0.5359726	0.1019058	0.0776172	0.2029309	0.1304025	0.2143502	0.3632	0.5635963	0.06816301	0.151439	0.2432441
2500	0.2515819	0.3812499	0.4319734	0.223559	0.3239998	0.3807509	0.05830181	0.1698519	0.3656031	0.277442	0.2051091	0.4464963	0.08518913	0.3226842	0.3371578	0.3194839	0.247789	0.09521014	0.3162249	0.3789498	0.4178089	0.3963827	0.122774	0.06719258	0.441029	0.1829976	0.007105944	0.322495	0.005459411	0.3480255	0.04634424	0.2520268	0.3978594	0.4068554	0.4809025	0.1745799	0.4216299	0.4913399	0.4921702	0.4845771	0.2502854	0.3479108	0.473942	0.2258991	0.09039932	0.2916049	0.4267588	0.4700447	0.06632696	0.2993267	0.3957972	0.2703331	0.2070851	0.3726279	0.3096391	0.4976677	0.4976808	0.5180558	0.01058013	0.5357476	0.02175727	0.5906638	0.4665493	0.4540526	0.5205123	0.2862899	0.158198	0.03516805	0.3831445	0.5411222	0.5260776	0.03210766	0.1281298	0.06945683	0.09999247	0.06904083	0.5928007	0.1777273	0.3550811	0.03145289	0.4998547	0.4566024	0.5108176	0.1962692	0.2104961	0.2893636	0.2845613	0.1013761	0.4311913	0.4898997	0.09161233	0.06852142	0.1579172	0.07988886	0.1882843	0.4422496	0.5410185	0.06901614	0.1245048	0.3561302
3000	0.1768962	0.4870009	0.4183266	0.1762784	0.356575	0.5229721	0.1310752	0.1815179	0.1941207	0.2667442	0.2785538	0.401352	0.05640975	0.443857	0.3350034	0.2050902	0.1641616	0.08364348	0.3338509	0.4632595	0.4342751	0.3382779	0.05724681	0.09755871	0.4197998	0.1407419	0.005840963	0.3701793	0.0234244	0.4168398	0.09012794	0.2522272	0.3640499	0.4300954	0.5223964	0.2365695	0.3749449	0.4972996	0.5488896	0.4430436	0.1441749	0.522814	0.4704841	0.2278416	0.09291431	0.3085416	0.454733	0.5366124	0.114608	0.2994898	0.4474468	0.2091209	0.2951503	0.2568243	0.4086317	0.4054262	0.435853	0.4570307	0.006255788	0.4013941	0.02756317	0.5392137	0.4566635	0.4731276	0.4945801	0.3743635	0.09581361	0.03944503	0.3349439	0.4939485	0.4717901	0.01871282	0.1901185	0.06983815	0.1354447	0.02307678	0.4908965	0.2571766	0.3601633	0.02776289	0.5016381	0.3364878	0.5536429	0.09370535	0.2760845	0.267507	0.2904382	0.1609043	0.3307997	0.402013	0.08579056	0.08786871	0.2329994	0.1028155	0.2212507	0.410782	0.6291269	0.03282823	0.1229084	0.3469602
3500	0.2866834	0.5476947	0.4894984	0.2176453	0.321626	0.3870136	0.08539056	0.1150656	0.2198712	0.2952197	0.1918207	0.3979464	0.06452497	0.4211171	0.2519059	0.2199892	0.2571109	0.06254225	0.3816458	0.4709726	0.5058337	0.2562079	0.08900796	0.1026369	0.5195058	0.09459412	0.01374717	0.3309798	0.03640454	0.4106865	0.0590735	0.2719254	0.3936157	0.4791086	0.5472304	0.1962593	0.3988978	0.5966809	0.4372182	0.437424	0.2048117	0.4179983	0.5814342	0.295071	0.09462649	0.2376017	0.5030678	0.421164	0.05780605	0.3750546	0.3811486	0.2627236	0.2607148	0.267057	0.3062782	0.4373478	0.5468314	0.6252696	0.003558775	0.4595852	0.0383888	0.5769267	0.5461256	0.454821	0.4646802	0.3610437	0.2426291	0.04451179	0.3174222	0.4343388	0.4710567	0.08427352	0.1392481	0.09276721	0.08233141	0.04055696	0.5841372	0.1257589	0.3855157	0.01973776	0.38509	0.4329422	0.5703717	0.131391	0.2774246	0.206696	0.3685843	0.1204199	0.3640482	0.4863944	0.04376744	0.1009739	0.1879571	0.1284878	0.1688185	0.38944	0.4608014	0.05304756	0.1049139	0.2838921
4000	0.2633569	0.4940115	0.5868649	0.114663	0.3425961	0.4061559	0.0691892	0.1936775	0.2447595	0.2153643	0.1783799	0.3934676	0.02893544	0.435939	0.3886355	0.1818641	0.1464946	0.07912844	0.3802029	0.404203	0.4632313	0.3845969	0.09617835	0.08155053	0.5216697	0.1216342	0.0188257	0.4364768	0.002756874	0.3966071	0.1112285	0.205903	0.3897212	0.3955355	0.5215137	0.3180718	0.3883178	0.5210603	0.4799299	0.5047033	0.1519786	0.4723736	0.4156241	0.2175103	0.0725503	0.3222297	0.5067546	0.3930553	0.06305525	0.2584252	0.4386828	0.3532493	0.1935634	0.3085519	0.3412384	0.4573868	0.5721524	0.4234063	0.0008912626	0.511833	0.0202427	0.5343439	0.5110328	0.4627489	0.5190619	0.3135873	0.1749539	0.01769637	0.3717173	0.5028261	0.4372258	0.04629367	0.08498727	0.1164882	0.05701145	0.05599645	0.4717523	0.1705346	0.290517	0.02177324	0.4619475	0.3269963	0.4920392	0.1371785	0.2387835	0.2476543	0.2567541	0.1301018	0.3126448	0.3751572	0.09033712	0.08698454	0.265622	0.1219989	0.163178	0.3628937	0.553938	0.04267533	0.1191588	0.3491646
4500	0.2284171	0.4908429	0.4732328	0.1464333	0.3660756	0.3684383	0.09113052	0.1473225	0.2846955	0.2076441	0.2053152	0.4061229	0.06924027	0.5115026	0.2362546	0.3223365	0.1116157	0.08112765	0.2950235	0.3736343	0.4511431	0.2630568	0.1371454	0.09543607	0.4835159	0.1357239	0.01589662	0.4220243	0.0207387	0.321909	0.04766041	0.2089778	0.4788978	0.4519849	0.5259614	0.2095536	0.4076712	0.544775	0.4653887	0.4038053	0.2409809	0.4697479	0.4319633	0.193288	0.1177832	0.2599381	0.4471467	0.4136444	0.06689683	0.2850234	0.3837677	0.2845281	0.207917	0.255411	0.2777097	0.4314506	0.5308456	0.4895341	0.006988576	0.4717771	0.03245365	0.6054517	0.530117	0.4387501	0.4768235	0.2602165	0.2721511	0.03634507	0.3664549	0.4441554	0.4314529	0.06591784	0.1180527	0.04758531	0.1058626	0.03081624	0.4798024	0.1618201	0.2970051	0.0372712	0.409487	0.3963175	0.5524408	0.2241534	0.1716766	0.3464824	0.2869481	0.1365458	0.4521448	0.4620029	0.03794844	0.09128837	0.1763091	0.06742319	0.1716181	0.336214	0.5661229	0.06271154	0.1367072	0.3313155
5000	0.2762173	0.5074384	0.4854283	0.159713	0.3291095	0.4367386	0.06350998	0.1846157	0.2943385	0.2753793	0.1351614	0.4348193	0.03434722	0.3273951	0.2907442	0.2477598	0.1732864	0.09431048	0.3085306	0.4320681	0.4916093	0.3471838	0.1218007	0.1319405	0.5027316	0.09892964	0.01486059	0.3600525	0.03637458	0.3929086	0.03409424	0.1688606	0.3679096	0.4043483	0.5244366	0.2542057	0.4354611	0.5403335	0.5116699	0.4570398	0.2237102	0.457244	0.4762953	0.2260228	0.09099848	0.3287618	0.5242957	0.4331245	0.1253422	0.2635918	0.3838488	0.3849827	0.2290642	0.2038804	0.3048591	0.484634	0.499109	0.489454	0.0008340267	0.383958	0.03984003	0.6482222	0.5282118	0.5102239	0.453695	0.3845228	0.1419155	0.06000914	0.3392758	0.4019358	0.4257446	0.01743277	0.2112324	0.1009613	0.09618288	0.04639326	0.5580534	0.1865602	0.430942	0.03998711	0.4424915	0.3638523	0.5208334	0.1428948	0.2444506	0.3041779	0.2873085	0.09715553	0.3114678	0.4513029	0.04737721	0.05876131	0.2816273	0.107449	0.2249929	0.4291292	0.5899496	0.06757661	0.1117584	0.2985562
